Question,Answer,false_answer
Alan Greenspan was the head of which US government department from 1987 to 2006?,FEDERAL RESERVE BOARD; Federal Reserve Board of Governors,Department of the Treasury
In what year was the Battle of Stamford Bridge?,1066; one thousand and sixty-six,1066
What was the Russian City of Nizhny Novgorod called between 1932 and 1990?,Gorkiy; GORKY,Gorky
"""The cruise liner """"Costa Concordia"""" sank in the Tyrhenian sea in January 2012 against the rocks of the coast of what island?""",Giglio; Giglio (disambiguation),Isola del Giglio
Zloty and Grosz are money in which country?,Republic of Poland; Polish state,Poland
Which US folk singer had the words “This machine kills fascists” written on his guitar?,"Woodie Guthrie; Guthrie, Woody",Pete Seeger
How is 'The Journal Of The House Of Commons' better known?,Parliamentary Hansard; Hansard,Hansard
"According to the Old Testament, who was the wife of Abraham and the mother of Isaac ?",List of Eureka characters; Zoe Carter (Eureka character),Sarah
Who composed the Liverpool Oratorio in collaboration with Carl Davis?,James Paul McCartney; Paul Mccartney,Paul McCartney
Which French romantic artist who painted Massacre at Chios and Women of Algiers was born on this day in 1798?,Eugene de la Croix; (Eugene) Delacroix,Eugène Delacroix
What did Tikki Tikki Tembo fall into?,"The well; Well, The",A well
Which is the most southerly of the Shipping Forecast areas?,Tralfagar; Traflagar,Trafalgar
A gerber was an alternative name for which traditional trade/craftsman?,Tanner; Tanner (name),Blacksmith
"What famous road began in Chicago, Illinois, ending at Santa Monica, California?",Route 66 (public transport); Route 66 (disambiguation),Route 66
Moroni is the capital of which Indian Ocean island group?,Federal Islamic Republic of The Comores; Culture of the Comoros,Comoros
Which English town/city did the Romans call Dubris?,"Dover (town, England); Dover, Kent",Dover
"Maine Coon, Munchkin, Oriental Shorthair, Persian, Ragamuffin, Russian Blue, Siamese, Siberian, Snowshoe, Sphynx, Tonkinese and Manx are all breeds of what?",Domestic cat; Felis domesticus catus,Cats
"In October 2003, which cricketer, playing in a Test series against Zimbabwe, scored a record 380 not out?",Haydos; Matty hayden,Brian Lara
Which of the Queen's horses won the 2013 Ascot Gold Cup?,Estimated; Estimation,Royal Ascot
Which 1987 US film was based on the 1985 French film ‘Trois hommes et un couffin’?,Jack Holden (Three Men and a Baby); Three Men and a Baby,Three Men and a Baby
"""What is the first line of """"Walk on the Wild Side"""" by Lou Reed, released as a single in 1972?""",Holly came from Miami F L A,"""Holly came from Miami, F.L.A."""
What colour is the liqueur Galliano?,Royal yellow; Yellower,Green
The word Tet in the Tet Offensive (N Vietnam/Viet Cong against S Vietnam/US forces on 30 Jan 1968) referred to the national?,New year; Turn of the year,Lunar New Year
By what first name is West Indian cricketer Sarwan known?,RAMNARESH,Ramnaresh
Goodge Street tube station is on which London Underground line?,Northern; Northern (disambiguation),Northern Line
"""Which American President used the slogan: """"It's the economy, stupid"""" for his presidential campaign?""",Virginia Clinton; Bill Clinton,George H
What is the first name of Blackadder in the UK television series ‘Blackadder’?,Edmund; Edmund (given name),Edmund
'Yellow River' was a May 1970 No.1 for who?,Christie; Christie (disambiguation),Christie
On which Italian track was the Formula One San Marino Grand Prix held?,Imola; Forum Cornelii,Imola
The ESA was 35 years old in 2010. For what does the S stand?,Space (physics); Spacial,Space
What is the principal charity for single parent families in the UK?,Ginger breads; Gingerbread cookie,One Parent Families
Who were the first League Cup winners,Aston Villa FC; Aston vil,Aston Villa
Wayne Rooney scored his first senior goal against which club?,Arsenal (weaponry); Armoury,Arsenal
Who is Arthur Wellesley better known as?,Marquis of Torres Vedras; Earl of Wellington,Duke of Wellington
The existance of which planet was mathematically,NEPTUNE,Neptune
What are the names of Donald Duck's three nephews?,"Huey, Duey, and Louie; Huey, Dewey & Louie","Huey, Dewey, and Louie"
Kirkland Signature is the house brand of what retail giant?,Costco Connection; Costco Inc.,Walmart
Who was the original bass guitarist with The Who,John Entwistle Bogey Man; Thunderfingers,John Entwistle
"""Whose memoirs, published in 2010, were called """"A Journey""""?""",Anthony C. L. Blair; Tony Blair,Tony Blair
"What name is given to the bridge design, such as Tower Bridge, with a divided lifting roadway?",BASCULE; Bascule,Bascule Bridge
On a motorway what is the speed limit for a car towing a caravan?,60 speed; sixty  speed,60 mph
What is the name of the line separating the numerator and denominator of a fraction if it is written as a diagonal line?,Solidus line; Solidus Line,Virgule
The flag of the Great Socialist People's Libyan Arab Jamahiriya was what single colour?,Avacado (color); The colour green,Green
"What dish, especially popular in parts of Wales and the English Midlands,  is traditionally made from pig's heart, liver and fatty belly meat or bacon minced together, with herbs added for flavouring and sometimes bread crumbs",Fagoting; Fagotting,Faggots
Ursus arctos horribilis is the scientific name of which animal?,Mainland grizzly; Montana state mammal,Grizzly Bear
Which of the Noble Gases takes its name from the Greek for 'hidden' ?,Krypton (programming language); KRYPTON,Krypton
Which popular newsreader resigned from ITN in 1979?,Reginald Bosanquet; REGINALD BOSANQUET,Reginald Bosanquet
Which play by Sir Peter Shaffer was made into a film with Tom Hulce in the title role?,AMADEUS; Amadeus (play),Amadeus
In which city was the wheelchair bound Robert Ironside Chief of detectives?,"City & County of San Francisco; County of San Francisco, California",San Francisco
What is the name of the UK Women's Prize for Fiction?,Orange Broadband Prize; Orange Prize for fiction,Orange Prize
What is the name of the assembly of cardinals for the election of a pope?,White smoke; Papal Conclave,Conclave
Who dated actress Elizabeth Hurley between 2000 and 2001 and denied he was the father of her son born in 2002 before a DNA test proved otherwise?,Stephen Bing; Steven Bing,Steve Bing
Which famous racehorse won Australia’s Melbourne Cup in 1930?,Phar Lap; Phar,Phar Lap
The John Brown Shipyard is/was on which river?,Clyde (disambiguation); Clyde,River Clyde
The expression 'Go West' originally (mid-1800s) encouraged people to move from/within?,America (USA); These United States of America,United States
What was the name of the World War I fighter ace nicknamed the Red Baron?,Baron Manfred von Ricktoven; Baron Manfred von Richthofen,Manfred von Richthofen
What is the name of the island in Norway where over 80 people lost their lives to a gunman on 22nd July?,Utoeya; Utøya,Utøya
"In a famous and popular series of books, what rests on the back of four giant elephants?",Bathys; Jerakeen,Discworld
In the Charles Dickens novel ‘Oliver Twist’ what is the name of Bill Sykes dog?,Bulls Eye; Bulls eye,Bullseye
The Tour de France always ends in Paris. In what European city did it begin this year?,Monégasques; ISO 3166-1:MC,Brussels
"Which town stands on the River Aare, between the lakes of Brienz and Thun?",Interlaken BE; Interlaken,Interlaken
"What is a name for a type of private club in city outskirts or rural areas that usually offers a variety of recreational sports facilities such as golf, tennis, swimming and polo?",Country Club; Tropicana Country Club,Country Fitness Club
Which month of the year came second in the Roman calendar?,㋃; Apr.,Januarius
"Introduced in 1894 and one of the world's oldest trademarks, Bibendum is better known as what?",Bibendum; Michelin man,The Michelin Man
How many ‘Triangles’ are there on the logo of car manufacturer BMW?,Four; 4,5 triangles
"What is the next in the series: 1, 16, 81, 256, 625 ?","1296; one thousand, two hundred and ninety-six",1296
"""In the film of the same name, what was the name of """"The Hustler""""?""","""""""Fast Eddie"""" Felson""","Jack ""Fast Eddie"" Felson"
"Which businessman on his elevation to the House of Lords, by Gordon Brown, in 2000, took the title Baron of Clapton?","Alan Michael Sugar, Baron Sugar; Amscreen",Baron Richard Branson
"Which 19th century British novelist, who worked as a Surveyor for the Post Office, was reputedly instrumental in the introduction of the pillar box in 1852?",Anthony Trollop; Anthony Trollope,Charles Dickens
Mrs Darrell Waters books were translated into 120 languages. What was her pen name?,Mary Pollock; Enid Blyton's Short-Stories,Agatha Christie
"What is the name of the neo-Norman fantasy castle situated close to Bangor, between Snowdonia and the Menai strait ? It was built in the early 19th century by a family who made their money from sugar and Welsh slate, and is now in the care of the National Trust.",PENRHYN; Penrhyn,Castell Gwynedd
"What noted English chemist and physicist, born on Sept 22, 1791, is responsible for the electromagnet and has the SI unit of capacitance named for him?",Faraday death; Faradayan,Isaac Newton
"In 1986, whilst facing England which West Indian batsman scored the fastest ever Test century in just 56 balls?","Sir Isaac Vivian Alexander Richards, KNH; Isaac Vivian Alexander Richards",Brian Lara
"In November 1935, which British prime minister returned to office after a general election?","Stanley, 1st Earl Baldwin of Bewdley Baldwin; Stanley Baldwin, 1st Earl Baldwin of Bewdley",Neville Chamberlain
The Suez Canal joins the Red Sea and which other body of water?,Mediterranean Countries; Med sea,The Black Sea
Which “Thom” is Radiohead’s lead singer and principal songwriter?,"York, Tom (Radiohead); Yorke, Tom",Thom Yorke
What was the name of the type of art particularly associated with Salvador Dali?,Surrealism; Surrealist poet,Abstract Surrealism
Coxa is the medical name for which joint of the human body?,HIP; HIPS,Elbow
"G-BOAG, G-BOAC, and F-BVFC and the tragic F-BTSC designated what iconic 20thC invention?",F-WTSS; Concorde,Concorde aircraft
The painting 'Faithful Unto Death' can be found in Liverpool's Walker Art Gallery. Who painted it?,"EJ Poynter; Sir Edward Poynter, 1st Baronet",John Everett Millais
What country does Waterford crystal come from?,West Coast of Ireland; Ireland,Scotland
What boy with a girl's name was sung about by Johnny Cash?,Sue; SUE,Susie
"What was the name of the character played by Michael Caine in a total of five films, the first of which was ‘The Ipcress File’?","Palmer, Harry; Harry Palmer",Harry Palmer
How many times did Actress Zsa Zsa Gabor marry?,9; nine,10 times
"What famed British naturalist, born on Feb 12, 1809, wrote a book famously subtitled ""the Preservation of Favoured Races in the Struggle for Life""?",Darwin's theory; Charlesdarwin,Charles Darwin
Which English producer and screenwriter is responsible for the creation of the fictional school Grange Hill ?,Phil REDMOND; Phillip redmond,Phil Redmond
Yukio Hatoyama was sworn in as the sixtieth prime minister of which country?,JAPAN; 🗾,South Korea
"""In economics, whose law states that, """"Bad Money Drives Out Good""""?""",SIR THOMAS GRESHAM; Thomas Gresham,Keynes's Law
Which South African fast bowler had the nickname White Lightning,Allan Donald; Allan Anthony Donald,Allan Donald
Clyde Tombaugh discovered which celestial object in our solar system in 1930?,P.L.U.T.O.; PLUTO,Planet X
Who created the ‘A’ Line in 1955?,Dior Monsieur; Christian Dior,Christian Dior
"Who designed the red telephone box, which first appeared in London in 1926?",Giles Gilbert Scott; Sir Giles Gilbert Scott,Giles Gilbert Scott
What is the family home of the Spencer family for over 500 years?,"Althorp, Northamptonshire; Althorp",Spencer House
What 17th- and 18th-century weapon was a short flintlock gun with a large bore?,Blunderbuss pistol; Donderbuss,Blunderbuss
With which pop group is Lou Reed associated?,The Velvet Underground; Velvet Underground,The Velvet Underground
The word sacerdotal means relating to what?,"Anglican priest; Priest, Assistant",Astrology
"What is the climate change agreement aimed at stabilizing greenhouse gas levels in the atmosphere, named after the Japanese city in which participating nations agreed its framework in 1997?",Koyoto protocol; Green investment schemes,Kyoto Protocol
H'Angus the Monkey is the mascot of which English football club?,Hartlepool United Football Club; Hartlepools United,Hartlepool United
What is the name of the line separating the numerator and denominator of a fraction if it is written as a diagonal line?,Solidus line; Solidus Line,Fraction bar
"Which Spaniard, from 1518, overcame Montezuma, captured Mexico City and became Governor-General of much of Mexico?",Cortez the Conquistador; Hernando Cortes,Hernán Cortés
"What kind of singing, from the Italian for Manner of the Church, features singers without any musical accompaniment?",Contemporary a cappella; A-cappela,Chiesa Canto
Gwyl San Steffan is the name for 26th December (St Stephen's Day or Boxing Day) in which country?,"Climate of Wales; Wales, U.K.",Scotland
What was the name of the home of the Norse gods?,Ásgardr; Asgård,Asgard
"Name the year in which Driving Miss Daisy won the Best Picture Oscar, Mikhail Gorbachev is elected as the first executive President of the Soviet Union and Iraq invaded Kuwait?","1990; one thousand, nine hundred and ninety",1990
Which golf club is designed to hit the ball the furthest distance?,Driver (disambiguation); Key driver,Driver
Which world war 2 German SS captain and Gestapo member was known as ‘The Butcher of Lyon”?,Butcher of Lyon; Barbie Trial,Klaus Barbie
Star Trek: TOS was cancelled in 1969 after how many years on the air?,3; three,5 years
Precisely where were the Winter Olympics of 1932 and 1980 both held?,Lake Placid; Lake Placid (disambiguation),"Lake Placid, New York"
"Starting 30 years of conflict, the Eritrean War of Independence broke out on Sept 1, 1961, as Eritrean separatists fought for independence from what country?",Ethiop; AEthiopia,Ethiopia
The male lead roll was played by whom in the 2001 film Moulin Rouge?,Ewan Macgreggor; Ewan mcgregor,Ewan McGregor
Who was the founder of the 'Mormon Church'?,Joseph Smith (Mormon prophet); Joseph Smith Jun.,Joseph Smith Jr.
Which duo had a hit album entitled Sweet Dreams (Are Made of This)?,Eurythmics; Eurythmics (band),Eurythmics
"In Greek mythology, how many heads does Cerberus, the dog who guards the entrance to Hades, usually have?",three; 3,5 heads
In which South American country does Angostura Bitters originally come from?,República Bolivariana de Venezuela; Etymology of Venezuela,Brazil
Which was the first commercial jet airliner to go into service in the UK?,☄; Jupiter-family comet,De Havilland Comet
In which field of the arts has American born Annie Leibovitz achieved fame?,Photography as an art form; Still photographers,Photography
Which 18th century stately home is situated one mile south of Woodstock in Oxfordshire?,Pipe organs of Blenheim Palace; The Pipe Organs of Blenheim Palace,Blenheim Palace
In the Bible who was the mother of King Solomon?,Besheba; Bathsheba at her bath,Bathsheba
Glenn Miller played which musical instrument?,Trombones; Slide trombone,Trombone
"On July 4,1817, construction began on what canal, linking the Great Lakes to the Hudson River, and ultimately, the Atlantic ocean?","Lock 15, Erie Canal; Lock 32, Erie Canal",Erie Canal
What was the name of the family in the 1960s TV series `Upstairs Downstairs'?,Bellamy (disambiguation); Bellamy,Bellamy
Franco Alfano completed which Puccini opera after the composers death in 1924?,Turandot (Puccini); Turandot,Turandot
"Nostradamus “Bull” Shannon, who also wrote a children’s book entitled Puff the Flesh Eating Dragon, was a bailiff on what long running NBC comedy?",Harold T. Stone; Dan Fielding,Night Court
Over how many complete furlongs is the Chester Cup now run?,18; EIGHTEEN,18 furlongs
"Quantrill's Raiders, a loosely organised force of Partisan rangers under the leadership of William Clarke Quantril, fought in which war?","Civil War, American; American civil war",American Civil War
Which 1962 ecological classic was written by Rachel Carson?,Slient spring; The Silent Spring,Silent Spring
In which year did St George die?,three hundred and three; 303,303 AD
"Edward Stanley served three terms as Prime Minister in the 19th century, he was known by what title?",Earl of derby; Baron Stanley of Preston,Earl of Derby
"Who has been President of France twice, but never been elected to the position?",Alain Poher,Charles de Gaulle
The Estoril Grand Prix circuit is in which European country?,Portingale; Portugaul,Portugal
Blue Gum and Ironbark are species of which genus of Australian tree?,Gum-tree; Eucalyptus tree,Eucalyptus
Rickets is caused by a lack of what essential element?,Calcium; H and K lines,Calcium
"Which Scotsman was given a ship by Americans to harass English shipping near Great Britain, and later became an admiral in the Russian Navy of Catherine The Great?",John Paul Jones (sailor); America's invasion of Whitehaven,John Paul Jones
"London's city bike rental scheme, which launched in 2010, is based on the Bixi project which introduced bike rental to which city?","Montréal's; Montréal, PQ",Montreal
"As well as gold, silver and platinum, objects made of what other material have to be hallmarked by an Assay Office?",The Palladium; PALLADIUM,Palladium
"The novels 'Dead Heat', 'Silks' and 'Even Money' were written by Dick Francis and his younger son. What is his son's first name?",FELIX; Félix,Felix Francis
Charles Rennie Mackintosh was a leading exponent of which art movement around the 1900's?,Art Noveau; Die Jugend,Art Nouveau
"On which island is the city of Knossos, once the capital of the ancient Minoan civilisation?",Kreta; Kriti (periphery),Crete
Dame Judi Dench and which other actress played the Widdington sisters in the 2004 film Ladies in Lavender?,Dame Margaret Natalie Smith Cross; Maggie smith,Maggie Smith
Who wrote the novel Cider With Rosie?,Laurie Lee,Laurie Lee
Russia's TU-144 plane was the broad equivalent of which western airliner?,Concorde (disambiguation); CONCORDE,Concorde
Who was the director of the CIA from 1976-81?,George Bush (disambiguation); Geroge Bush,George H
In which US state is the Green Mountains Range?,"The Green Mountain State; USA, Vermont",Vermont
Chi is the Chinese year of what?,Cocks; Cock,The Dragon
"Which mischievous fairy, also called Robin Goodfellow, appears in Shakespeare's 'A Midsummer Night's Dream'?",PUCK; Puck (disambiguation),Puck
Who partnered Jo Durie when she won the Wimbledon mixed doubles title in 1987?,Jeremy Bates; Jeremy Bates (disambiguation),Pat Cash
"Born 'Lucille LeSueur' , By what name is this actress better known?",Joan Crawford; Lucille LeSueur,Joan Crawford
What was the first animated film to be nominated for an Oscar for best picture?,Beauty and the Beast (1991 film); Beauty and the Beast (1991 movie),Toy Story
The moons of which planet are named after Shakespearian characters?,Uranos (planet); ♅,Uranus
Who was the only boxer to win more heavyweight title fights than Mohammed Ali?,"He can run, but he can't hide; Joe Louis vs. Billy Conn",Joe Louis
What is the name of the Maltese physician and psychologist who coined the term “Lateral Thinking” in the 1960s?,Edward De Bono; Edward de bono,Edward de Bono
Estelle Parsons won a best supporting actress Oscar for her role in which 1967 film?,The story of bonnie and clyde; Prentiss Oakley,Bonnie and Clyde
According to Latin grammatical rules what is the singular of candelabra?,Candelabra tower; Candleabrum,Candelabrum
Art Garfunkel trained for which profession although he didn't qualify?,Registered Architect; Graziani + Corazza,Architect
Who played Brad Pitt’s wife Theresa Mills in the film ‘Seven’?,Gwneth Paltrow; Goop.com,Gwyneth Paltrow
In which city was John Lennon murdered?,"New York, U.S.; Estado Nueva York",Los Angeles
Which of the London Livery Companies is first in order of preference?,Mercers Company; Mercers' Hall,The Mercers' Company
"On 30 September 1399, Henry Bolingbroke, Duke of Lancaster, became better known as whom?",Henry Bolinbroke; King Henry IV of England,Henry IV
Which US President died in office in July 1850 to be succeeded by his Vice President Millard Fillmore?,General Taylor; List of judicial appointments made by Zachary Taylor,Zachary Taylor
"Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II?",The Prisoner of Sex; Norman Kingsley,Norman Mailer
In which English city is the Anglican cathedral dedicated to St. Philip and the Catholic one to St. Chad?,"Birmingham, UK; City of birmingham",Birmingham
"Terry Molloy, David Gooderson and Julian Bleach have all portrayed which villain in the UK television series Dr Who?",Davros; Creator of the Daleks,The Master
"Which future Hollywood star got her break as Wonder Girl, Wonder Woman's sister Drusilla?",Deborah Winger; Debra Winger,Angelina Jolie
Which infamous character became Pope Alexander VI?,Roderic Llançol; Pope Alex VI,Julius Caesar
Erotology is the study of what?,Anatomical sex; Genetic sex,The study of extraterrestrial life
What homonymic word refers both to a pit and a hunted animal?,Rock quarries; Super quarry,Lair
The 1965 film ‘The Heroes of Telemark’ is set in which European country?,NORWAY; Norwegian kingdom,Sweden
"What separates Wales from Devon, England?",Welsh Channel; Môr Hafren,The Celtic Sea
"Which 1989 music video of Madonna attracted criticism for showing images like her making love to Saint Martin de Porres, use of Catholic iconography including a scene where she develops stigmata as well as cross burning?",Like a Prayer (disambiguation); Like A Prayer,Like a Prayer
"What name is given to the curve seen at the surface of a liquid, particularly in a narrow tube?",Miniscus; The miniscus,The helix effect
"In the culinary world, what word is used for the edible offal of a fowl, typically including the heart, gizzard and liver?",Giblets; Giblet,Gristle
The ancient pre-scientific system of classifying all universal matter as Water/Air/Fire/Earth/Aether is called the Classical?,Elements (album); The Elements (disambiguation),Elemental Theory
What Caribbean nation is considered the first black-led republic in the world?,Haiti; Administrative divisions of Haiti,Haiti
The Hindi/Sanskrit 'kotwal' refers to what profession in India?,Police-woman; Police woman,Astrologer
Who won baseball's first World Series of the 80s?,Philadelphia Phillis; Phillies,New York Yankees
"Who is the vice President of the,USA?","Joe Biden; Joseph R. Biden, Jr",Kamala Harris
The 'impossible' Penrose Stairs and Devil's Pitchfork are famous?,Perceptual organization; Visual illusion,Optical illusions
"What is the surname of the father and son who rode Grand National winners, L'Escargot in 1975 and Bobbyjo in 1999?",Carberry (disambiguation); Carberry,O'Brien
Which car company produces a model called Eos?,Volkswagen; Gas Auto,Ford
"""""""The Hunchback of Notre Dame"""" by Victor Hugo is one of the greatest ever French novels. What is the original French title of the book ?""","Notre Dame De Paris; Notre Dame, Paris",Le Bossu de Notre-Dame
Where has Baroness Royall of Blaisdon led the opposition since May 2010?,UKHL; House of lords,House of Commons
Au is the chemical symbol of what element?,Au (element); Australium,Argon
The Earth's Equator is approximately how many millions of metres in length?,40; forty,50 million meters
Who was the only fictional character to feature in Time Magazine's 100 most important people of the 20th Century?,B.J. Simpson; Aye karumba,Sherlock Holmes
"In 2005, Dan Wheldon became the first British competitor to win what event in over 30 years?",Indy 505; International 500-Mile Sweepstakes,Tour de France
Which cartoon title character has a friend called Captain Haddock?,TINTIN; Tin-tin,Scooby-Doo
George W Bush was given which diminutive herbaceous nickname?,Shrub; Frutex,Little Bush
Clement (Clym) Yeobright is a leading character in which novel?,The return of the native; Return of the Native,Wuthering Heights
The flag of the Isle of Man is a triskelion on what colour background?,Red (disambiguation); Red (film),Green
The Carnegie family fortune was built around Andrew Carnegie’s success in manufacture in which industry?,Long steel products; Steel truss,Textile industry
What story introduced the Cybermen?,The Tenth Planet (Doctor Who); Dr Who - Music from the Tenth Planet,The Cyber Invasion
Which number Beethoven symphony is known as ‘The Pastoral’?,The Sixth; SIXTH,Symphony No
Which millionaire introduced a free school milk programme in Chicago to combat rickets?,CaPone; Scarface Capone,Howard Hughes
Which English Rugby Union team play their home games at Adams Park?,Wasps RFC; Wasps (rugby),Leicester Tigers
"Wardenclyffe Tower in Shoreham, New York was designed by which genius who intended to showcase it for demonstrations of wireless power transmission?","Milutin Tesla; Tesla, Nikola",Thomas Edison
Probably best remembered as being chief presenter of ITV's News At Ten between 1976 and 1991which British journalist and broadcaster sadly passed away on July 20th 2012?,ALASTAIR BURNETT; Alastair Burnet,Walter Cronkite
What is the square root of 169?,thirteen; 13,15
What is the name of the local pub in Heartbeat,The Aidensfield Arms,The Aidensfield Arms
Which fictional girls' boarding school was created by the cartoonist Ronald Searle,St Trinian; Saint Trinians,St
In which mountains does the Loire river rise?,Cevennes; Cévennes Mountains,Pyrenees
Whose 1960 recording “The Twist” spawned a craze for the dance of that name?,Chubby Checker,Elvis Presley
Who won the World Professional Snooker Championship six times in the 1970s?,Ray Reardon,Steve Davis
Which U.S. air base in Britain was the scene of a long running women's anti nuclear protest in the 1980s,Greenham and Crookham Commons; Greenham Common,RAF Greenham Common
"Produced between 1970 and 1974, what is a Bond Bug?",Self-rolling carriage; Motorcar,A type of motorcycle
Where in Scotland is Dunvegan Castle?,Isle of skye; Isle-of-Skye,Inverness
"Who was manager of Sheffield Wednesday when they won the League Cup in 1991, beating Manchester United in the final ?",RON ATKINSON; Ronglish,Brian Clough
"The old British slang to 'shop' someone, meaning to betray someone, or inform an authority of someone's wrong-doing, derives from 'shop' meaning?",Gefängnis; Correctional facility,A place of business
"Disaronno is an 'amaretto' liqueur with a characteristic bitter-almond taste, however it doesn't contain any nuts at all; from the kernel of which fruit does the flavour come?",Apricock; Albaricoque,Cherry
"Geoff Capes, twice the world's strongest man, won 2 Olympic Games gold medals in which sport?",Shot putting; Shotputter,Shot put
The remains of which ancient city were discovered by Heinrich Schliemann in the 1870s?,City of Troy; Troy (Asia Minor),Babylon
The Wimbledon tennis tournament is held at which tennis club in London?,AELTC; All England Lawn Tennis and Croquet Club,Queen's Club
Two of Peter O'Toole's nominations for Best Actor 'Oscar' were for playing which English king in two different films?,King Henry II; Henry Ii,King Richard III
What is the official color of the UPS trucks?,Blackoranges; Brown (color),Yellow
"""Which country did Tsar Nicholas I of Russia call """"the sick man of Europe""""?""",The Republic of Turkey; Turkie,Ottoman Empire
Which former West Indian fast bowler was known as 'Whispering Death'?,Mike Holding; Michael Holding,Curtly Ambrose
"What nickname was given to Ana Cumpna, also known as Anna Sage, who betrayed John Dillinger to the police when he attended the Biograph Theater in Chicago?",Lady in Red; The Lady in Red (film),The Red Lady
How many stars are on the national flag of New Zealand?,4; Four,Seven
Christian is the lead character in the film 2015 adaptation of what extraordinarily successful book?,Fifty Shades of Grey: The Classical Album; Fifty Shades Of Grey,The Hunger Games
Which historically contested region did Russia annexe from Ukraine in February 2014?,Demographics of the Autonomous Republic of Crimea; Crimean,Transnistria
Who wrote the 1951 novel ‘From here to Eternity’?,"Jones, James; James Jones (basketball)",Ernest Hemingway
Name the space craft that exploded 72 seconds after lift off killing all 7 crew members in 1986.,Space shuttle Challenger; STA-099,Challenger II
